IO_SIZE(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,92.4,191.5,192.42,179.93,177.97
8192,138.12,404.98,411.16,363.38,361.12
16384,260.67,819.08,726.79,724.39,701.54
32768,441.34,1508.46,1300.94,1257.45,1238.39
65536,746.39,2661.34,2395.73,2195.64,2087.89
131072,1637.84,4186.22,3917.64,3706.06,3610.15
262144,2529.09,3773.45,3608.23,3774.91,3615.53
524288,3431.65,3836.02,3590.88,3784.74,3695.12
1048576,3443.08,3800.45,3191.51,3813.13,3724.04
2097152,3592.63,3916.75,3768.82,3816.27,3760.46
4194304,3403.29,3793.74,3416.5,3767.45,3661.21
8388608,2834.76,3173.88,2917.99,3181.34,3217.4
16777216,1974.28,2442.1,2772.03,2839.59,2803.82
33554432,1990.39,2752.71,2783,2867,2816.99
67108864,1926.11,2490.82,2784.7,2868.16,2819.12
100663296,2086.65,2659.78,2768.18,2824.34,2812.31
