IO_SIZE(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,105.46,129.87,133.54,33.35,152.88
8192,127.95,156.92,46.23,54.99,274.45
16384,463.08,440.5,463.63,456.5,455.78
32768,789.14,757.1,816.84,795.21,769.64
65536,1248.03,1231.89,1116.62,1212.12,1308.27
131072,1780.56,1756.44,1118.56,1730.24,1801.81
262144,1776.64,1852.28,1902.04,1829.08,1891.25
524288,1710.4,1864.03,1816.51,1638.15,1890.99
1048576,1775.84,1627.97,1906.85,1674.16,1892.3
2097152,1815.23,1319.41,1849.5,1839.77,1948.42
4194304,1747.73,1603.73,1774.37,1791.16,1919.12
8388608,1775.56,1728.98,1715.9,1786.48,1898.7
16777216,1682.18,1663.37,1574.76,1733.97,1833.77
33554432,1645.95,1669.44,1716.97,1718.25,1785.43
67108864,1634.78,1653.88,1605.19,1731.29,1814.16
100663296,1573.98,1568.71,1633.4,1645.52,1728.23
