IO_SIZE(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,167.62,167.05,173.63,170.96,173.07
8192,330.91,359.07,326.42,342.66,324.31
16384,681.26,718.94,663.19,696.68,591.05
32768,1259.4,1261.66,1053.05,1240.96,1018.24
65536,2060.91,2223.34,2193.09,2092.74,1563.93
131072,3464.11,3691.9,3670.82,3590.71,2698.12
262144,3007.85,3672.71,3557.75,3644.72,2736.72
524288,2264.7,3726.1,3699.13,3608.7,2687.04
1048576,2484.16,3734.04,3731.26,3539.19,2743.09
2097152,2376.75,3870.55,3820.64,3750.34,2740.06
4194304,3416.58,3768.97,3785.6,3659.6,2670.21
8388608,2817.66,3279.21,3258.42,3170.19,2411.79
16777216,2632.63,2733.49,2894.01,2813.1,2258.55
33554432,2605.94,2807.53,2922.39,2809.16,2355.63
67108864,2477.61,2162.76,2912.41,2833.81,2220.16
100663296,2317.6,1314.89,2878.99,2851.08,2064.29
