IO_SIZE(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,154.58,132.11,169.29,156.04,139.49
8192,272.78,235.98,325.5,235.51,207.02
16384,561.56,563,566.74,515.37,516.07
32768,959.54,935.78,896.68,907.84,923.77
65536,1501.35,1352.03,1544.67,1462.23,1186.66
131072,2045.69,1968.98,2132.03,2036.94,2012.4
262144,2088.3,2037.94,2133.61,2030.33,2019.58
524288,2119.56,2028.89,2139.95,1583.39,2038.76
1048576,1966.66,2077.46,2151.36,1915.96,2012.99
2097152,2134.41,2070.75,2220.01,1855.56,2050.61
4194304,2035.12,2038.76,2211.45,1573.55,2005.08
8388608,2014.99,1735.16,1854.68,1766.48,1937.29
16777216,1997.08,1219.3,1033.96,1695.66,1930.8
33554432,1984.85,1327.15,1906.79,1218.75,1274.16
67108864,1977.08,1893.02,2028.2,908.07,1247.64
100663296,1978.23,1854.88,1963.16,988.48,1765.46
