IO_SIZE(Bytes),Stride(Bytes),Trial 1 Throughput(MB/s),Trial 2 Throughput(MB/s),Trial 3 Throughput(MB/s),Trial 4 Throughput(MB/s),Trial 5 Throughput(MB/s)
4096,4096,136.37,58.91,176.64,113.3,102.28
4096,8192,81.56,73.56,172.62,94.29,89.41
4096,16384,65.12,101.38,174.43,69.25,71.16
4096,32768,55.57,124.19,174.48,57.99,58.04
4096,65536,40.76,146.23,174.15,62.68,119.6
4096,131072,141.33,160.45,168.24,143.48,153.89
4096,262144,153.93,168.62,174.04,164.18,165.59
4096,524288,172.93,174.34,175.43,169.52,171.03
4096,1048576,177.11,176.11,183.48,169.16,154.28
4096,2097152,177.56,177.2,174.94,172.88,179.31
4096,4194304,174.95,177.8,167.29,177.43,177.94
4096,8388608,178.28,177.92,165.65,176.93,177.53
4096,16777216,178.67,178.32,179.13,180.06,177.56
4096,33554432,173.31,178.42,178.35,168.09,177.07
4096,67108864,176.08,178.64,179,173.29,177.6
4096,100663296,177.34,178.8,178.43,172.11,177.27
16384,4096,573.97,570.01,581.86,586.43,656.81
16384,8192,713.11,710.96,714.61,699.2,722.16
16384,16384,703.8,722.78,709.67,703.74,728.57
16384,32768,693.17,723.12,690.03,690.79,731.36
16384,65536,702.03,725.66,715.74,693.59,728.84
16384,131072,717.86,725.71,724.09,689.67,726.41
16384,262144,714.55,725.85,726.88,697.69,729.21
16384,524288,678.18,725.87,724.56,681.5,730.13
16384,1048576,721.93,725.91,731.34,632.14,676.01
16384,2097152,729.22,726.25,701.18,711.52,684.39
16384,4194304,726.96,727.9,725.54,706.81,706.22
16384,8388608,717.45,728.36,725.13,717.28,716.49
16384,16777216,728.01,728.38,721.26,712.35,720.33
16384,33554432,701.14,729.87,720.84,715.87,727.22
16384,67108864,717.2,730.86,727.51,670.92,725.67
16384,100663296,722.91,731.63,725.76,716.98,727.64
65536,4096,1088.2,2083.85,1747.24,1044.41,2186.3
65536,8192,2248.3,2114.36,2275.92,1946.23,2197.11
65536,16384,2192.4,2186.82,2239.38,2155,2199.41
65536,32768,2184.52,2192.99,2179.67,2144.41,2209.05
65536,65536,2198.89,2194.16,2203.06,2199.95,2205.52
65536,131072,2193.85,2195.69,2213.53,2164.44,2203.28
65536,262144,2200.36,2196.75,2197.66,2144.57,2187.68
65536,524288,2179.37,2203.11,2182.78,2162.24,2169.79
65536,1048576,2127.14,2205.27,2192.05,2132.8,2159.57
65536,2097152,2187.44,2208.23,2195.71,2011.46,2160.18
65536,4194304,2244.11,2210.38,2102.82,1898.76,2205.34
65536,8388608,2275.84,2268.39,2141.76,2166.02,2264.86
65536,16777216,2399.88,2398.29,2263.18,2341.34,2343.77
65536,33554432,2383.51,2409.58,2331.99,2357.41,2380.34
65536,67108864,2381.21,2412.7,2355.72,2347.35,2399.5
65536,100663296,2392.41,2417.28,2297.92,2357.47,2413.12
262144,4096,2231.7,3514.9,1802.56,3706.57,3702.11
262144,8192,3319.53,3665.67,4166.09,3691.97,3684.06
262144,16384,3735.55,3676.22,3714.07,3644.1,3615.61
262144,32768,2791.45,3683.15,3532.11,3623.29,3648.32
262144,65536,3973.29,3685.38,3536.46,3691.94,3656.37
262144,131072,3908.9,3696.8,3721.54,3669.25,3658.27
262144,262144,3813.87,3702.06,3597.88,3635.69,3674.45
262144,524288,3747.17,3703.69,3474.17,3693.82,3637.5
262144,1048576,3715.87,3705.63,3655.2,3657.8,3656.76
262144,2097152,3753.34,3723.84,3544.65,3712.58,3661.51
262144,4194304,3729.97,3730.88,3643.91,3732.53,3678.93
262144,8388608,3730.75,3738.21,3679.75,3703.82,3653.03
262144,16777216,3967.56,3742.33,3994.15,3816.74,3849.22
262144,33554432,4217.48,3750.65,4088.67,4068.14,4209.45
262144,67108864,4306.66,3750.83,4327.58,4304.66,4341.08
262144,100663296,4328.58,3754.24,4349.51,4287.08,4336.85
1048576,4096,3441.05,3757.91,3703.97,3720.4,3684.49
1048576,8192,3670.46,3762.84,3739.96,3736,3740.78
1048576,16384,3643.66,3764.83,3754.93,3730.12,3701.29
1048576,32768,3709.65,3768.54,3777.76,3412.1,3724.3
1048576,65536,3810.45,3778.21,3762.49,3751.92,3773.86
1048576,131072,3806.3,3781.49,3718.01,3466.54,3725.72
1048576,262144,3800.79,3818.91,3720.67,3668.4,3733.32
1048576,524288,3791.24,3867.95,3738.02,3554.7,3739.22
1048576,1048576,3799.36,3939.49,3758.78,3599.97,3762.71
1048576,2097152,3793.46,4016.87,3731.74,3604.44,3714.79
1048576,4194304,3723.53,4080.49,3717.8,3605.82,3719.52
1048576,8388608,3796.45,4091.53,3754.11,3723.19,3754.37
1048576,16777216,3155.91,4098,3743.47,3695.11,3736.97
1048576,33554432,3534.54,4244.7,3750.43,3684.75,3752.98
1048576,67108864,3572.31,4322.96,3998.14,3762.59,3976.44
1048576,100663296,3775.16,4347.9,4101.86,4079.75,4039.94
