IO_SIZE(Bytes),Cohen's d,Sample Size (n),Dataset
4096.0,5.62,2.29,Size Read
8192.0,2.34,296.95,Size Read
16384.0,1.37,9945.4,Size Read
32768.0,0.97,121128.19,Size Read
65536.0,0.76,971735.57,Size Read
131072.0,0.82,2010632.15,Size Read
262144.0,0.78,2334885.79,Size Read
524288.0,0.47,16262891.59,Size Read
1048576.0,0.55,9035544.29,Size Read
2097152.0,0.47,17451606.41,Size Read
4194304.0,0.74,3106626.08,Size Read
8388608.0,0.8,1692891.84,Size Read
16777216.0,1.08,412682.4,Size Read
33554432.0,1.21,268545.52,Size Read
67108864.0,0.73,1737146.67,Size Read
100663296.0,0.35,26656702.99,Size Read
4096.0,1.03,1589.93,Size Write
8192.0,0.56,52117.95,Size Write
16384.0,2.06,1287.64,Size Write
32768.0,3.77,332.29,Size Write
65536.0,0.98,168452.23,Size Write
131072.0,3.41,2415.41,Size Write
262144.0,4.3,976.44,Size Write
524288.0,0.87,539697.84,Size Write
1048576.0,2.19,13974.33,Size Write
2097152.0,1.53,61143.29,Size Write
4194304.0,0.83,642672.99,Size Write
8388608.0,1.6,41651.31,Size Write
16777216.0,0.37,10585812.84,Size Write
33554432.0,0.42,6135570.73,Size Write
67108864.0,0.32,19425719.9,Size Write
100663296.0,0.41,7945700.24,Size Write
4096.0,0.4,87061.13,Random Read
8192.0,0.3,1110706.56,Random Read
16384.0,0.29,4530870.42,Random Read
32768.0,0.28,16839836.7,Random Read
65536.0,0.27,59485600.88,Random Read
131072.0,0.34,70077493.03,Random Read
262144.0,0.66,5000931.29,Random Read
524288.0,2.27,39756.48,Random Read
1048576.0,1.33,324271.6,Random Read
2097152.0,3.21,10516.39,Random Read
4194304.0,1.92,75229.3,Random Read
8388608.0,1.75,78961.64,Random Read
16777216.0,0.7,2159808.7,Random Read
33554432.0,0.72,2036332.32,Random Read
67108864.0,0.66,2782141.63,Random Read
100663296.0,0.85,1048910.27,Random Read
4096.0,0.24,295636.88,Random Write
8192.0,0.14,3425514.02,Random Write
16384.0,4.88,28.74,Random Write
32768.0,3.39,366.72,Random Write
65536.0,1.76,12296.08,Random Write
131072.0,0.56,2124341.42,Random Write
262144.0,3.66,1499.09,Random Write
524288.0,1.67,32081.75,Random Write
1048576.0,1.42,61239.13,Random Write
2097152.0,0.71,961033.8,Random Write
4194304.0,1.57,40445.42,Random Write
8388608.0,2.47,6708.17,Random Write
16777216.0,1.78,22520.68,Random Write
33554432.0,3.18,2234.36,Random Write
67108864.0,1.99,14193.19,Random Write
100663296.0,2.52,5189.9,Random Write
4096.4096,0.27,202835.21,Stride Read
4096.8192,0.26,186682.27,Stride Read
4096.16384,0.21,376693.4,Stride Read
4096.32768,0.18,693751.25,Stride Read
4096.65536,0.19,681868.5,Stride Read
4096.131072,1.35,553.65,Stride Read
4096.262144,2.24,85.26,Stride Read
4096.524288,7.19,0.88,Stride Read
4096.1048576,1.54,411.09,Stride Read
4096.2097152,7.06,0.98,Stride Read
4096.4194304,3.87,10.72,Stride Read
4096.8388608,3.25,21.64,Stride Read
4096.16777216,19.2,0.02,Stride Read
4096.33554432,3.97,9.69,Stride Read
4096.67108864,7.61,0.73,Stride Read
4096.100663296,6.55,1.33,Stride Read
16384.4096,1.66,3650.38,Stride Read
16384.8192,8.57,7.38,Stride Read
16384.16384,6.28,25.72,Stride Read
16384.32768,3.54,248.46,Stride Read
16384.65536,4.71,80.99,Stride Read
16384.131072,4.62,88.44,Stride Read
16384.262144,5.48,44.89,Stride Read
16384.524288,2.74,699.09,Stride Read
16384.1048576,1.63,5378.65,Stride Read
16384.2097152,3.84,182.06,Stride Read
16384.4194304,6.45,23.43,Stride Read
16384.8388608,13.27,1.31,Stride Read
16384.16777216,10.97,2.83,Stride Read
16384.33554432,6.32,25.44,Stride Read
16384.67108864,2.88,583.9,Stride Read
16384.100663296,13.23,1.35,Stride Read
65536.4096,0.3,25414184.6,Stride Read
65536.8192,1.63,51938.92,Stride Read
65536.16384,7.25,136.7,Stride Read
65536.32768,9.15,53.37,Stride Read
65536.65536,50.92,0.06,Stride Read
65536.131072,11.97,18.41,Stride Read
65536.262144,9.37,48.62,Stride Read
65536.524288,14.07,9.52,Stride Read
65536.1048576,6.22,245.46,Stride Read
65536.2097152,2.66,7250.57,Stride Read
65536.4194304,1.51,68281.23,Stride Read
65536.8388608,3.47,2680.83,Stride Read
65536.16777216,4.21,1380.43,Stride Read
65536.33554432,8.11,102.22,Stride Read
65536.67108864,8.54,83.51,Stride Read
65536.100663296,4.8,833.81,Stride Read
262144.4096,0.33,59120904.19,Stride Read
262144.8192,1.23,471255.92,Stride Read
262144.16384,7.48,338.57,Stride Read
262144.32768,0.92,1307502.72,Stride Read
262144.65536,2.31,37963.11,Stride Read
262144.131072,3.64,6221.57,Stride Read
262144.262144,4.48,2642.73,Stride Read
262144.524288,3.43,7556.94,Stride Read
262144.1048576,12.3,46.38,Stride Read
262144.2097152,4.48,2641.69,Stride Read
262144.4194304,9.22,148.82,Stride Read
262144.8388608,10.44,90.56,Stride Read
262144.16777216,3.68,6436.11,Stride Read
262144.33554432,2.15,60908.14,Stride Read
262144.67108864,1.65,187446.33,Stride Read
262144.100663296,1.64,192067.78,Stride Read
1048576.4096,2.9,14861.2,Stride Read
1048576.8192,10.68,83.86,Stride Read
1048576.16384,7.63,320.36,Stride Read
1048576.32768,2.43,30570.83,Stride Read
1048576.65536,17.07,13.18,Stride Read
1048576.131072,2.73,19332.59,Stride Read
1048576.262144,6.1,796.95,Stride Read
1048576.524288,3.24,9966.92,Stride Read
1048576.1048576,3.11,11899.96,Stride Read
1048576.2097152,2.47,30037.39,Stride Read
1048576.4194304,2.08,59319.25,Stride Read
1048576.8388608,2.52,28497.33,Stride Read
1048576.16777216,1.09,754306.15,Stride Read
1048576.33554432,1.42,278281.38,Stride Read
1048576.67108864,1.39,322067.58,Stride Read
1048576.100663296,2.0,81514.03,Stride Read
4096.4096,0.79,5770.13,Stride Write
4096.8192,0.36,105410.9,Stride Write
4096.16384,0.4,47924.56,Stride Write
4096.32768,0.46,23277.94,Stride Write
4096.65536,0.76,4297.88,Stride Write
4096.131072,0.72,6063.01,Stride Write
4096.262144,1.43,443.64,Stride Write
4096.524288,4.13,7.83,Stride Write
4096.1048576,10.62,0.19,Stride Write
4096.2097152,2.15,107.67,Stride Write
4096.4194304,1.67,287.2,Stride Write
4096.8388608,2.3,82.23,Stride Write
4096.16777216,2.87,35.09,Stride Write
4096.33554432,2.5,59.68,Stride Write
4096.67108864,2.15,108.16,Stride Write
4096.100663296,2.14,111.34,Stride Write
16384.4096,0.43,74172.66,Stride Write
16384.8192,0.41,97834.69,Stride Write
16384.16384,1.09,8483.24,Stride Write
16384.32768,3.21,159.05,Stride Write
16384.65536,3.8,99.95,Stride Write
16384.131072,1.39,5838.63,Stride Write
16384.262144,5.78,23.6,Stride Write
16384.524288,6.19,18.23,Stride Write
16384.1048576,4.4,73.08,Stride Write
16384.2097152,1.87,2375.71,Stride Write
16384.4194304,1.35,9149.85,Stride Write
16384.8388608,1.3,11195.67,Stride Write
16384.16777216,1.85,2581.3,Stride Write
16384.33554432,6.17,23.21,Stride Write
16384.67108864,5.49,34.67,Stride Write
16384.100663296,2.14,1465.37,Stride Write
65536.4096,0.26,2754216.03,Stride Write
65536.8192,0.09,527885887.95,Stride Write
65536.16384,1.12,44968.92,Stride Write
65536.32768,1.27,34757.56,Stride Write
65536.65536,1.34,35569.57,Stride Write
65536.131072,2.12,8148.59,Stride Write
65536.262144,2.47,5704.35,Stride Write
65536.524288,2.5,6525.38,Stride Write
65536.1048576,2.58,6363.52,Stride Write
65536.2097152,1.78,28268.75,Stride Write
65536.4194304,1.95,22347.58,Stride Write
65536.8388608,4.61,764.32,Stride Write
65536.16777216,4.26,1053.83,Stride Write
65536.33554432,2.69,6676.79,Stride Write
65536.67108864,2.32,11795.68,Stride Write
65536.100663296,4.04,1308.27,Stride Write
262144.4096,0.14,448508409.98,Stride Write
262144.8192,0.24,67255298.3,Stride Write
262144.16384,1.61,21790.82,Stride Write
262144.32768,2.81,2640.16,Stride Write
262144.65536,1.4,47604.65,Stride Write
262144.131072,0.55,2287336.48,Stride Write
262144.262144,1.7,38122.34,Stride Write
262144.524288,7.48,135.11,Stride Write
262144.1048576,6.08,406.24,Stride Write
262144.2097152,6.97,281.42,Stride Write
262144.4194304,3.44,5166.77,Stride Write
262144.8388608,8.36,160.16,Stride Write
262144.16777216,2.68,16495.04,Stride Write
262144.33554432,1.74,119800.02,Stride Write
262144.67108864,2.9,18415.81,Stride Write
262144.100663296,9.01,210.86,Stride Write
1048576.4096,0.21,162742835.85,Stride Write
1048576.8192,0.23,82592769.93,Stride Write
1048576.16384,1.26,61509.91,Stride Write
1048576.32768,2.02,9937.73,Stride Write
1048576.65536,1.37,46603.21,Stride Write
1048576.131072,1.05,141630.09,Stride Write
1048576.262144,0.87,343182.72,Stride Write
1048576.524288,1.51,48486.44,Stride Write
1048576.1048576,1.05,257590.28,Stride Write
1048576.2097152,2.29,15608.3,Stride Write
1048576.4194304,3.35,4522.12,Stride Write
1048576.8388608,1.14,355559.01,Stride Write
1048576.16777216,1.61,108585.81,Stride Write
1048576.33554432,1.28,286884.56,Stride Write
1048576.67108864,1.73,97177.96,Stride Write
1048576.100663296,1.1,673971.05,Stride Write
