SIZE READ,,,,,SIZE WRITE,,,,RANDOM READ,,,,RANDOM WRITE,,
IO_SIZE(Bytes),Sample Size (n),# of rounds,,,IO_SIZE(Bytes),Sample Size (n),# of rounds,,IO_SIZE(Bytes),Sample Size (n),# of rounds,,IO_SIZE(Bytes),Sample Size (n),# of rounds
4096,2.29,1,,,4096,1589.93,318,,4096,87061.13,17413,,4096,295636.88,59128
8192,296.95,60,,,8192,52117.95,10424,,8192,1110706.56,222142,,8192,3425514.02,685103
16384,9945.4,1990,,,16384,1287.64,258,,16384,4530870.42,906175,,16384,28.74,6
32768,121128.19,24226,,,32768,332.29,67,,32768,16839836.7,3367968,,32768,366.72,74
65536,971735.57,194348,,,65536,168452.23,33691,,65536,59485600.88,11897121,,65536,12296.08,2460
131072,2010632.15,402127,,,131072,2415.41,484,,131072,70077493.03,14015499,,131072,2124341.42,424869
262144,2334885.79,466978,,,262144,976.44,196,,262144,5000931.29,1000187,,262144,1499.09,300
524288,16262891.59,3252579,,,524288,539697.84,107940,,524288,39756.48,7952,,524288,32081.75,6417
1048576,9035544.29,1807109,,,1048576,13974.33,2795,,1048576,324271.6,64855,,1048576,61239.13,12248
2097152,17451606.41,3490322,,,2097152,61143.29,12229,,2097152,10516.39,2104,,2097152,961033.8,192207
4194304,3106626.08,621326,,,4194304,642672.99,128535,,4194304,75229.3,15046,,4194304,40445.42,8090
8388608,1692891.84,338579,,,8388608,41651.31,8331,,8388608,78961.64,15793,,8388608,6708.17,1342
16777216,412682.4,82537,,,16777216,10585812.84,2117163,,16777216,2159808.7,431962,,16777216,22520.68,4505
33554432,268545.52,53710,,,33554432,6135570.73,1227115,,33554432,2036332.32,407267,,33554432,2234.36,447
67108864,1737146.67,347430,,,67108864,19425719.9,3885144,,67108864,2782141.63,556429,,67108864,14193.19,2839
100663296,26656702.99,5331341,,,100663296,7945700.24,1589141,,100663296,1048910.27,209783,,100663296,5189.9,1038
,,,,,,,,,,,,,,,
STRIDE READ,,,,,STRIDE WRITE,,,,,,,,,,
IO_SIZE(Bytes),Stride(Bytes),Sample Size (n),# of rounds,,IO_SIZE(Bytes),Stride(Bytes),Sample Size (n),# of rounds,,,,,,,
4096,4096,202835.21,40568,,4096,4096,5770.13,1155,,,,,,,
4096,8192,186682.27,37337,,4096,8192,105410.9,21083,,,,,,,
4096,16384,376693.4,75339,,4096,16384,47924.56,9585,,,,,,,
4096,32768,693751.25,138751,,4096,32768,23277.94,4656,,,,,,,
4096,65536,681868.5,136374,,4096,65536,4297.88,860,,,,,,,
4096,131072,553.65,111,,4096,131072,6063.01,1213,,,,,,,
4096,262144,85.26,18,,4096,262144,443.64,89,,,,,,,
4096,524288,0.88,1,,4096,524288,7.83,2,,,,,,,
4096,1048576,411.09,83,,4096,1048576,0.19,1,,,,,,,
4096,2097152,0.98,1,,4096,2097152,107.67,22,,,,,,,
4096,4194304,10.72,3,,4096,4194304,287.2,58,,,,,,,
4096,8388608,21.64,5,,4096,8388608,82.23,17,,,,,,,
4096,16777216,0.02,1,,4096,16777216,35.09,8,,,,,,,
4096,33554432,9.69,2,,4096,33554432,59.68,12,,,,,,,
4096,67108864,0.73,1,,4096,67108864,108.16,22,,,,,,,
4096,100663296,1.33,1,,4096,100663296,111.34,23,,,,,,,
16384,4096,3650.38,731,,16384,4096,74172.66,14835,,,,,,,
16384,8192,7.38,2,,16384,8192,97834.69,19567,,,,,,,
16384,16384,25.72,6,,16384,16384,8483.24,1697,,,,,,,
