IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,5.981503,171.19
4096,8192,6.375220,160.62
4096,16384,6.891327,148.59
4096,32768,8.448048,121.21
4096,65536,7.109815,144.03
4096,131072,6.667452,153.58
4096,262144,6.163703,166.13
4096,524288,5.860006,174.74
4096,1048576,5.791691,176.81
4096,2097152,5.768359,177.52
4096,4194304,5.726400,178.82
4096,8388608,5.727764,178.78
4096,16777216,5.734777,178.56
4096,33554432,5.736833,178.50
4096,67108864,5.716942,179.12
4096,100663296,5.726384,178.82
16384,4096,4.923683,207.97
16384,8192,4.923956,207.96
16384,16384,2.510267,407.92
16384,32768,2.149337,476.43
16384,65536,1.935010,529.20
16384,131072,1.864330,549.26
16384,262144,1.737412,589.38
16384,524288,1.770490,578.37
16384,1048576,1.760170,581.76
16384,2097152,1.654742,618.83
16384,4194304,1.642476,623.45
16384,8388608,1.504216,680.75
16384,16777216,1.600424,639.83
16384,33554432,1.557974,657.26
16384,67108864,1.648412,621.20
16384,100663296,1.646432,621.95
65536,4096,3.338081,306.76
65536,8192,2.883238,355.16
65536,16384,1.205623,849.35
65536,32768,1.056927,968.85
65536,65536,0.930775,1100.16
65536,131072,0.758456,1350.11
65536,262144,0.653537,1566.86
65536,524288,0.592684,1727.73
65536,1048576,0.572968,1787.19
65536,2097152,0.564593,1813.70
65536,4194304,0.541584,1890.75
65536,8388608,0.486720,2103.88
65536,16777216,0.476732,2147.96
65536,33554432,0.475121,2155.24
65536,67108864,0.523665,1955.45
65536,100663296,0.480802,2129.77
262144,4096,1.287474,795.36
262144,8192,1.312418,780.24
262144,16384,0.756834,1353.00
262144,32768,0.720301,1421.63
262144,65536,0.743878,1376.57
262144,131072,0.916395,1117.42
262144,262144,0.563577,1816.97
262144,524288,0.449951,2275.80
262144,1048576,0.396111,2585.13
262144,2097152,0.355545,2880.09
262144,4194304,0.335546,3051.74
262144,8388608,0.327732,3124.50
262144,16777216,0.327078,3130.75
262144,33554432,0.279054,3669.54
262144,67108864,0.257411,3978.07
262144,100663296,0.241613,4238.18
1048576,4096,2.510092,407.95
1048576,8192,2.632038,389.05
1048576,16384,0.834916,1226.47
1048576,32768,0.744785,1374.89
1048576,65536,0.727084,1408.37
1048576,131072,0.795649,1287.00
1048576,262144,0.801591,1277.46
1048576,524288,0.645283,1586.90
1048576,1048576,0.619719,1652.36
1048576,2097152,0.471199,2173.18
1048576,4194304,0.401254,2552.00
1048576,8388608,0.360489,2840.59
1048576,16777216,0.377145,2715.14
1048576,33554432,0.379948,2695.11
1048576,67108864,0.342845,2986.77
1048576,100663296,0.342703,2988.01
