IO_Size(Bytes),Stride(Bytes),ElapsedTime(s),Throughput(MB/s)
4096,4096,9.038116,113.30
4096,8192,10.859904,94.29
4096,16384,14.785990,69.25
4096,32768,17.657308,57.99
4096,65536,16.337733,62.68
4096,131072,7.136934,143.48
4096,262144,6.236958,164.18
4096,524288,6.040567,169.52
4096,1048576,6.053428,169.16
4096,2097152,5.923134,172.88
4096,4194304,5.771152,177.43
4096,8388608,5.787757,176.93
4096,16777216,5.686867,180.06
4096,33554432,6.092059,168.09
4096,67108864,5.909333,173.29
4096,100663296,5.949673,172.11
16384,4096,1.746160,586.43
16384,8192,1.464540,699.20
16384,16384,1.455093,703.74
16384,32768,1.482366,690.79
16384,65536,1.476378,693.59
16384,131072,1.484775,689.67
16384,262144,1.467696,697.69
16384,524288,1.502561,681.50
16384,1048576,1.619896,632.14
16384,2097152,1.439175,711.52
16384,4194304,1.448754,706.81
16384,8388608,1.427606,717.28
16384,16777216,1.437488,712.35
16384,33554432,1.430426,715.87
16384,67108864,1.526268,670.92
16384,100663296,1.428204,716.98
65536,4096,0.980456,1044.41
65536,8192,0.526146,1946.23
65536,16384,0.475174,2155.00
65536,32768,0.477520,2144.41
65536,65536,0.465466,2199.95
65536,131072,0.473101,2164.44
65536,262144,0.477486,2144.57
65536,524288,0.473582,2162.24
65536,1048576,0.480120,2132.80
65536,2097152,0.509083,2011.46
65536,4194304,0.539298,1898.76
65536,8388608,0.472757,2166.02
65536,16777216,0.437356,2341.34
65536,33554432,0.434375,2357.41
65536,67108864,0.436237,2347.35
65536,100663296,0.434364,2357.47
262144,4096,0.276266,3706.57
262144,8192,0.277359,3691.97
262144,16384,0.281002,3644.10
262144,32768,0.282616,3623.29
262144,65536,0.277361,3691.94
262144,131072,0.279076,3669.25
262144,262144,0.281652,3635.69
262144,524288,0.277220,3693.82
262144,1048576,0.279950,3657.80
262144,2097152,0.275819,3712.58
262144,4194304,0.274345,3732.53
262144,8388608,0.276471,3703.82
262144,16777216,0.268292,3816.74
262144,33554432,0.251712,4068.14
262144,67108864,0.237882,4304.66
262144,100663296,0.238857,4287.08
1048576,4096,0.275239,3720.40
1048576,8192,0.274090,3736.00
1048576,16384,0.274522,3730.12
1048576,32768,0.300108,3412.10
1048576,65536,0.272927,3751.92
1048576,131072,0.295395,3466.54
1048576,262144,0.279141,3668.40
1048576,524288,0.288069,3554.70
1048576,1048576,0.284447,3599.97
1048576,2097152,0.284094,3604.44
1048576,4194304,0.283985,3605.82
1048576,8388608,0.275033,3723.19
1048576,16777216,0.277123,3695.11
1048576,33554432,0.277902,3684.75
1048576,67108864,0.272153,3762.59
1048576,100663296,0.250996,4079.75
